date,cases_new,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
2020-03-16,553,,,,,,,
2020-03-17,120,,,,,,,
2020-03-18,117,,,,,,,
2020-03-19,110,,,,,,,
2020-03-20,130,,,,,,,
2020-03-21,153,,,,,,,
2020-03-22,123,,,,,,,
2020-03-23,212,,,,,,,
2020-03-24,106,,,,,,,
2020-03-25,172,,,,,,,
2020-03-26,235,,,,,,,
2020-03-27,116,,,,,,,
2020-03-28,173,,,,,,,
2020-03-29,150,,,,,,,
2020-03-30,156,,,,,,,
2020-03-31,140,,,,,,,
2020-04-01,142,,,,,,,
2020-04-02,208,,,,,,,
2020-04-03,217,,,,,,,
2020-04-04,150,,,,,,,
2020-04-05,179,,,,,,,
2020-04-06,131,,,,,,,
2020-04-07,170,,,,,,,
2020-04-08,156,,,,,,,
2020-04-09,109,,,,,,,
2020-04-10,118,,,,,,,
2020-04-11,184,,,,,,,
2020-04-12,153,,,,,,,
2020-04-13,134,,,,,,,
2020-04-14,170,,,,,,,
2020-04-15,85,,,,,,,
2020-04-16,110,,,,,,,
2020-04-17,69,,,,,,,
2020-04-18,54,,,,,,,
2020-04-19,84,,,,,,,
2020-04-20,36,,,,,,,
2020-04-21,57,,,,,,,
2020-04-22,50,,,,,,,
2020-04-23,71,,,,,,,
2020-04-24,88,,,,,,,
2020-04-25,51,,,,,,,
2020-04-26,38,,,,,,,
2020-04-27,40,,,,,,,
2020-04-28,31,,,,,,,
2020-04-29,94,,,,,,,
2020-04-30,57,,,,,,,
2020-05-01,69,,,,,,,
2020-05-02,105,,,,,,,
2020-05-03,122,,,,,,,
2020-05-04,55,,,,,,,
2020-05-05,30,,,,,,,
2020-05-06,45,,,,,,,
2020-05-07,39,,,,,,,
2020-05-08,68,,,,,,,
2020-05-09,54,,,,,,,
2020-05-10,67,,,,,,,
2020-05-11,70,,,,,,,
2020-05-12,16,,,,,,,
2020-05-13,35,,,,,,,
2020-05-14,40,,,,,,,
2020-05-15,36,,,,,,,
2020-05-16,19,,,,,,,
2020-05-17,22,,,,,,,
2020-05-18,47,,,,,,,
2020-05-19,36,,,,,,,
2020-05-20,32,,,,,,,
2020-05-21,50,,,,,,,
2020-05-22,78,,,,,,,
2020-05-23,48,,,,,,,
2020-05-24,60,,,,,,,
2020-05-25,172,,,,,,,
2020-05-26,187,,,,,,,
2020-05-27,15,,,,,,,
2020-05-28,10,,,,,,,
2020-05-29,103,,,,,,,
2020-05-30,30,,,,,,,
2020-05-31,57,,,,,,,
2020-06-01,38,,,,,,,
2020-06-02,20,,,,,,,
2020-06-03,93,,,,,,,
2020-06-04,277,,,,,,,
2020-06-05,19,,,,,,,
2020-06-06,37,,,,,,,
2020-06-07,19,,,,,,,
2020-06-08,7,,,,,,,
2020-06-09,7,,,,,,,
2020-06-10,2,,,,,,,
2020-06-11,31,,,,,,,
2020-06-12,33,,,,,,,
2020-06-13,43,,,,,,,
2020-06-14,8,,,,,,,
2020-06-15,41,,,,,,,
2020-06-16,11,,,,,,,
2020-06-17,10,,,,,,,
2020-06-18,14,,,,,,,
2020-06-19,6,,,,,,,
2020-06-20,21,,,,,,,
2020-06-21,16,,,,,,,
2020-06-22,15,,,,,,,
2020-06-23,3,,,,,,,
2020-06-24,6,,,,,,,
2020-06-25,4,,,,,,,
2020-06-26,6,,,,,,,
2020-06-27,10,,,,,,,
2020-06-28,9,,,,,,,
2020-06-29,3,,,,,,,
2020-06-30,2,,,,,,,
2020-07-01,1,,,,,,,
2020-07-02,3,,,,,,,
2020-07-03,5,,,,,,,
2020-07-04,19,,,,,,,
2020-07-05,5,,,,,,,
2020-07-06,5,,,,,,,
2020-07-07,6,,,,,,,
2020-07-08,3,,,,,,,
2020-07-09,12,,,,,,,
2020-07-10,8,,,,,,,
2020-07-11,9,,,,,,,
2020-07-12,12,,,,,,,
2020-07-13,7,,,,,,,
2020-07-14,4,,,,,,,
2020-07-15,5,,,,,,,
2020-07-16,3,,,,,,,
2020-07-17,17,,,,,,,
2020-07-18,9,,,,,,,
2020-07-19,16,,,,,,,
2020-07-20,21,,,,,,,
2020-07-21,15,,,,,,,
2020-07-22,16,,,,,,,
2020-07-23,9,,,,,,,
2020-07-24,4,,,,,,,
2020-07-25,40,,,,,,,
2020-07-26,13,,,,,,,
2020-07-27,7,,,,,,,
2020-07-28,39,,,,,,,
2020-07-29,12,,,,,,,
2020-07-30,9,,,,,,,
2020-07-31,12,,,,,,,
2020-08-01,9,,,,,,,
2020-08-02,14,,,,,,,
2020-08-03,2,,,,,,,
2020-08-04,1,,,,,,,
2020-08-05,21,,,,,,,
2020-08-06,15,,,,,,,
2020-08-07,25,,,,,,,
2020-08-08,7,,,,,,,
2020-08-09,13,,,,,,,
2020-08-10,11,,,,,,,
2020-08-11,9,,,,,,,
2020-08-12,12,,,,,,,
2020-08-13,15,,,,,,,
2020-08-14,19,,,,,,,
2020-08-15,26,,,,,,,
2020-08-16,25,,,,,,,
2020-08-17,15,,,,,,,
2020-08-18,4,,,,,,,
2020-08-19,16,,,,,,,
2020-08-20,5,,,,,,,
2020-08-21,7,,,,,,,
2020-08-22,10,,,,,,,
2020-08-23,8,,,,,,,
2020-08-24,7,,,,,,,
2020-08-25,13,,,,,,,
2020-08-26,6,,,,,,,
2020-08-27,5,,,,,,,
2020-08-28,10,,,,,,,
2020-08-29,11,,,,,,,
2020-08-30,17,,,,,,,
2020-08-31,6,,,,,,,
2020-09-01,14,,,,,,,
2020-09-02,6,,,,,,,
2020-09-03,14,,,,,,,
2020-09-04,11,,,,,,,
