date,state,cases_new,cases_import,cases_recovered
2020-01-25,Johor,4,,0
2020-01-25,Kedah,0,,0
2020-01-25,Kelantan,0,,0
2020-01-25,Melaka,0,,0
2020-01-25,Negeri Sembilan,0,,0
2020-01-25,Pahang,0,,0
2020-01-25,Pulau Pinang,0,,0
2020-01-25,Perak,0,,0
2020-01-25,Perlis,0,,0
2020-01-25,Sabah,0,,0
2020-01-25,Sarawak,0,,0
2020-01-25,Selangor,0,,0
2020-01-25,Terengganu,0,,0
2020-01-25,W.P. Kuala Lumpur,0,,0
2020-01-25,W.P. Labuan,0,,0
2020-01-25,W.P. Putrajaya,0,,0
2020-01-26,Johor,0,,0
2020-01-26,Kedah,0,,0
2020-01-26,Kelantan,0,,0
2020-01-26,Melaka,0,,0
2020-01-26,Negeri Sembilan,0,,0
2020-01-26,Pahang,0,,0
2020-01-26,Pulau Pinang,0,,0
2020-01-26,Perak,0,,0
2020-01-26,Perlis,0,,0
2020-01-26,Sabah,0,,0
2020-01-26,Sarawak,0,,0
2020-01-26,Selangor,0,,0
2020-01-26,Terengganu,0,,0
2020-01-26,W.P. Kuala Lumpur,0,,0
2020-01-26,W.P. Labuan,0,,0
2020-01-26,W.P. Putrajaya,0,,0
2020-01-27,Johor,0,,0
2020-01-27,Kedah,0,,0
2020-01-27,Kelantan,0,,0
2020-01-27,Melaka,0,,0
2020-01-27,Negeri Sembilan,0,,0
2020-01-27,Pahang,0,,0
2020-01-27,Pulau Pinang,0,,0
2020-01-27,Perak,0,,0
2020-01-27,Perlis,0,,0
2020-01-27,Sabah,0,,0
2020-01-27,Sarawak,0,,0
2020-01-27,Selangor,0,,0
2020-01-27,Terengganu,0,,0
2020-01-27,W.P. Kuala Lumpur,0,,0
2020-01-27,W.P. Labuan,0,,0
2020-01-27,W.P. Putrajaya,0,,0
2020-01-28,Johor,0,,0
2020-01-28,Kedah,0,,0
2020-01-28,Kelantan,0,,0
2020-01-28,Melaka,0,,0
2020-01-28,Negeri Sembilan,0,,0
2020-01-28,Pahang,0,,0
2020-01-28,Pulau Pinang,0,,0
2020-01-28,Perak,0,,0
2020-01-28,Perlis,0,,0
2020-01-28,Sabah,0,,0
2020-01-28,Sarawak,0,,0
2020-01-28,Selangor,0,,0
2020-01-28,Terengganu,0,,0
2020-01-28,W.P. Kuala Lumpur,0,,0
2020-01-28,W.P. Labuan,0,,0
2020-01-28,W.P. Putrajaya,0,,0
2020-01-29,Johor,2,,0
2020-01-29,Kedah,1,,0
2020-01-29,Kelantan,0,,0
2020-01-29,Melaka,0,,0
2020-01-29,Negeri Sembilan,0,,0
2020-01-29,Pahang,0,,0
2020-01-29,Pulau Pinang,0,,0
2020-01-29,Perak,0,,0
2020-01-29,Perlis,0,,0
2020-01-29,Sabah,0,,0
2020-01-29,Sarawak,0,,0
2020-01-29,Selangor,0,,0
2020-01-29,Terengganu,0,,0
2020-01-29,W.P. Kuala Lumpur,0,,0
2020-01-29,W.P. Labuan,0,,0
2020-01-29,W.P. Putrajaya,0,,0
2020-01-30,Johor,1,,0
2020-01-30,Kedah,0,,0
2020-01-30,Kelantan,0,,0
2020-01-30,Melaka,0,,0
2020-01-30,Negeri Sembilan,0,,0
2020-01-30,Pahang,0,,0
2020-01-30,Pulau Pinang,0,,0
2020-01-30,Perak,0,,0
2020-01-30,Perlis,0,,0
2020-01-30,Sabah,0,,0
2020-01-30,Sarawak,0,,0
2020-01-30,Selangor,0,,0
2020-01-30,Terengganu,0,,0
2020-01-30,W.P. Kuala Lumpur,0,,0
2020-01-30,W.P. Labuan,0,,0
2020-01-30,W.P. Putrajaya,0,,0
2020-01-31,Johor,0,,0
2020-01-31,Kedah,0,,0
2020-01-31,Kelantan,0,,0
2020-01-31,Melaka,0,,0
2020-01-31,Negeri Sembilan,0,,0
2020-01-31,Pahang,0,,0
2020-01-31,Pulau Pinang,0,,0
2020-01-31,Perak,0,,0
2020-01-31,Perlis,0,,0
2020-01-31,Sabah,0,,0
2020-01-31,Sarawak,0,,0
2020-01-31,Selangor,0,,0
2020-01-31,Terengganu,0,,0
2020-01-31,W.P. Kuala Lumpur,0,,0
2020-01-31,W.P. Labuan,0,,0
2020-01-31,W.P. Putrajaya,0,,0
2020-02-01,Johor,0,,0
2020-02-01,Kedah,0,,0
2020-02-01,Kelantan,0,,0
2020-02-01,Melaka,0,,0
2020-02-01,Negeri Sembilan,0,,0
2020-02-01,Pahang,0,,0
2020-02-01,Pulau Pinang,0,,0
2020-02-01,Perak,0,,0
2020-02-01,Perlis,0,,0
2020-02-01,Sabah,0,,0
2020-02-01,Sarawak,0,,0
2020-02-01,Selangor,0,,0
2020-02-01,Terengganu,0,,0
2020-02-01,W.P. Kuala Lumpur,0,,0
2020-02-01,W.P. Labuan,0,,0
2020-02-01,W.P. Putrajaya,0,,0
2020-02-02,Johor,0,,0
2020-02-02,Kedah,0,,0
2020-02-02,Kelantan,0,,0
2020-02-02,Melaka,0,,0
2020-02-02,Negeri Sembilan,0,,0
2020-02-02,Pahang,0,,0
2020-02-02,Pulau Pinang,0,,0
2020-02-02,Perak,0,,0
2020-02-02,Perlis,0,,0
2020-02-02,Sabah,0,,0
2020-02-02,Sarawak,0,,0
2020-02-02,Selangor,0,,0
2020-02-02,Terengganu,0,,0
2020-02-02,W.P. Kuala Lumpur,0,,0
